'-0.282ETA_Epsilon_2+0.271MLogP+0.27 SpMin4_Bhm-0.261AATSC0s-0.251Mpe...',-0.309AATSC5c+0.298BCUTc-1l-0.296GATS6c-0.278AVP-2-0.217ATSC3e...,-0.365GGI9-0.345ALogp2-0.301SpMAD_Dze+0.273ETA_AlphaP-0.262ATSC3e...,-0.368nHaaCH-0.368naaCH-0.29AATS3p-0.274AATS0m-0.252maxHBint5...,-0.43SIC4-0.423BIC3-0.278GATS4p+0.271JGT+0.222BCUTc-1l...,'0.371MATS1c+0.345MATS5e_Exp+0.29 MATS3c+0.273AATSC7e_Exp-0.256GATS6c...',-0.411AATSC8c+0.376ATSC1i_Exp+0.293VR1_Dzv+0.271GATS8s_Exp-0.269VR1_D_Exp...,Results
3.129785,-1.390906,0.098233,1.497162,-0.651376,1.185529,-1.058782,1
1.866941,-0.917827,0.408465,2.014168,-1.159242,1.350066,-0.648549,0
2.582669,-0.105506,-0.067702,-1.278597,0.41319,-2.196493,1.411242,0
0.817568,-2.325239,-5.766592,0.728321,-0.733295,0.078046,-0.664706,0
1.288491,0.654479,0.259609,1.038787,-0.332896,1.250876,0.11931,1
-0.447894,-1.146802,-2.384938,-1.757896,0.076229,-1.481739,-0.736817,0
1.538883,2.65025,-0.757044,0.938668,1.832138,-1.514663,0.383324,0
-1.333423,2.081398,3.453119,-1.310836,0.333245,-1.764491,0.366139,1
2.3728,-0.705875,1.33897,-2.351087,-0.297789,-0.095436,-0.567853,1
-1.506813,-1.893441,1.884831,-0.052855,-0.444652,-1.798916,-2.11113,0
-2.527256,1.232638,-1.023302,1.812529,-3.03778,-1.368187,0.021199,0
2.411022,0.984788,-0.058442,0.53006,-1.416791,-0.074719,-0.852459,0
1.291608,-1.642845,-1.357361,2.819641,-1.074875,0.434219,-0.962674,0
-1.776804,2.440899,1.308078,0.881735,-2.864768,-0.737983,-0.418336,0
1.451183,-1.565476,-0.204888,2.495272,-0.376846,-0.692839,-1.425999,0
0.019765,0.082065,2.265829,-2.846047,0.348566,-1.040915,-1.721985,0
-5.956283,-5.940213,1.600098,1.036828,2.638438,-1.466996,2.364098,0
-1.872373,-0.443318,0.449257,-0.125336,-2.32767,-0.819551,-2.347463,0
-8.494719,-3.545032,0.258916,-1.090305,1.314201,-1.189488,-4.53125,0
-0.531325,-0.510136,-6.194343,0.293031,-1.127551,-0.455625,-1.203975,0
-5.295113,-2.330357,-0.335913,0.150037,-2.345641,1.502641,-0.648905,0
0.588587,-2.24847,-5.933181,1.027539,-1.091467,0.07561,-1.662814,0
2.069764,-0.826425,-1.973129,0.390007,-0.91224,0.657766,-1.715532,1
0.890623,-1.041412,1.916611,0.767956,-2.219867,2.174227,-0.611661,0
1.743208,-1.746447,1.529358,3.474823,0.366758,0.915337,0.093068,1
0.548585,-0.076602,-1.380661,3.560489,4.207678,0.104164,0.007316,1
0.522799,0.20991,-1.312118,3.607203,4.198552,-0.197336,-0.707259,0
1.498062,-1.477564,-1.004441,2.448999,-0.630686,0.512515,-0.139961,0
-2.230501,3.285384,1.769638,2.139409,-1.404891,-4.337996,2.675969,0
-1.665919,-0.278036,0.802177,-0.495978,-1.883482,-0.741254,-1.52475,1
-8.288265,-3.379751,0.611836,-1.460947,1.75839,-1.111192,-3.708538,0
2.390082,-0.464187,-1.153201,-2.235049,0.432681,0.228912,0.115527,0
-0.324871,-0.344855,-5.841424,-0.077611,-0.683362,-0.377328,-0.381262,0
3.044501,0.257881,1.52792,0.390382,1.237452,-0.621627,-0.546358,0
-2.057024,5.409935,-1.781451,0.475303,4.698073,0.488896,-0.16323,1
1.844415,-0.675777,0.594796,1.942744,-1.073226,1.425926,-0.823945,0
0.795042,-2.083189,-5.580261,0.656897,-0.647278,0.153907,-0.840102,0
-1.46353,0.955834,-1.502579,-1.970017,-1.728471,-0.880389,0.827368,0
-0.47042,-0.904752,-2.198607,-1.82932,0.162245,-1.405879,-0.912213,1
1.516357,2.892301,-0.570713,0.867245,1.918155,-1.438802,0.207928,0
-3.334107,0.879412,-4.217528,-1.412635,0.187065,-0.244207,0.11135,0
-11.271347,2.242848,0.998326,0.243434,1.559517,7.193298,1.063092,1
1.640599,-1.344128,0.116056,2.158205,-0.005136,-0.685331,-0.734122,0
-1.317397,-1.672093,2.205775,-0.389922,-0.072942,-1.791408,-1.419253,0
3.869349,0.826919,0.79794,0.522185,2.654648,0.307137,-0.612131,0
2.373043,-0.40812,-1.185177,-2.201474,0.360202,0.158125,-0.015308,0
2.498677,0.109972,2.079836,-2.276827,-1.290171,1.110566,-0.06872,1
2.924375,0.687342,2.210925,-2.253085,-0.353376,0.2463,-0.106515,1
-1.347931,1.451248,2.317007,0.631645,0.231751,-2.383357,0.479133,1
-5.114821,-2.10685,-0.03023,-0.217033,-1.961638,1.674702,0.157639,0
-5.082594,-2.100185,-0.033108,-0.211857,-1.968217,1.500577,0.112155,0
-2.321989,1.25757,-0.841785,1.401999,-2.687164,-1.486833,1.259428,0
0.521611,0.06956,-1.483521,3.567314,4.104979,-0.394278,-0.291742,0
