0.283ETA_Epsilon_2-0.27MLogP-0.265SpMin4_Bhm+0.258AATSC0s+0.246Mpe...,0.362GGI9+0.314SpMAD_Dze+0.286ALogp2+0.235SpMin3_Bhp-0.227AVP-2...,0.337BCUTc-1l-0.283ATSC3e+0.274AATS0m+0.229AATS3p-0.222GATS6c...,-0.37nHaaCH-0.37naaCH-0.282AATS3p-0.251maxHBint5-0.247AATS0m...,-0.438SIC4-0.426BIC3+0.261AATSC5c+0.221VR1_Dze+0.206JGT...,-0.332MATS5e_Exp-0.317MATS1c+0.293GATS6c-0.264AATSC7e_Exp-0.251MATS3c...,0.447ATSC1i_Exp-0.409VR1_D_Exp-0.408AATSC3m_Exp+0.284GATS8s_Exp+0.235VR1_Dzv...,-0.357VR1_Dzv-0.332VR1_Dze+0.327AATSC8c-0.294VR1_D_Exp+0.252AATSC5c...,0.416MDEC-13-0.39GATS5e-0.305ALogp2+0.243JGT+0.242AATS3p...,-0.396AATSC7e_Exp+0.342GATS8s_Exp-0.281MATS5e_Exp-0.258ETA_AlphaP+0.228GATS5i...,-0.515ETA_BetaP_Exp+0.376GATS5i-0.33ETA_AlphaP-0.256AATS0m-0.254VR1_D_Exp...,-0.331ETA_BetaP_Exp+0.307AVP-2+0.293GATS8s_Exp-0.287GATS6c+0.286AATSC3m_Exp...,'0.436ATSC7c-0.361MDEC-13-0.306BIC3+0.24 ETA_dEpsilon_D+0.238MATS5e_Exp...',Results
0.819811,-0.50229,-0.706577,1.27351,-2.067953,-0.991578,0.431398,1.480836,-1.676646,-0.34193,-0.759864,1.025276,-1.220129,K
-0.692371,4.321938,0.648077,-1.264859,1.175234,-2.085567,-0.155263,1.403269,-4.656736,-0.093701,-0.189394,-2.865884,-2.378888,C
-0.443456,-3.09868,0.327099,1.742346,2.404179,0.578963,0.763181,2.219242,0.323329,0.107371,-1.685037,1.452859,1.503612,C
-4.404974,-1.97026,-0.508937,-1.114268,0.52284,-2.753683,-0.188324,-1.100643,-1.282596,1.580276,0.345741,0.651553,0.534526,C
6.017618,-3.77485,-3.721849,0.247418,4.143864,1.694075,4.246487,-3.740681,-2.238545,-0.883168,0.217182,-0.501558,-1.415225,C
1.933694,-0.535753,3.622456,2.600918,-3.935332,2.91733,3.476761,0.012515,-0.562449,-2.03435,-1.225738,0.707668,0.441584,K
1.691051,-0.789923,-0.525824,-0.614809,-1.984687,0.26061,-0.142908,1.352259,1.008293,1.5589,0.386603,-0.977869,-0.146863,K
1.748756,-1.372933,0.299479,-1.658787,2.158888,0.796761,4.293705,-6.121095,-1.937127,2.940444,0.968101,-0.201464,-0.639566,C
-0.612053,0.065499,0.650198,-1.523501,1.075475,-1.066473,0.628071,-1.179347,0.085418,1.755841,0.674851,0.889513,1.042785,C
8.516464,-1.604025,-2.035646,-1.861285,2.072043,1.225453,-0.735462,3.540108,0.923536,1.133877,1.233567,0.147059,0.363671,C
-2.709533,-0.731177,0.457503,-1.390274,1.797323,-0.636011,0.971178,-0.714279,0.908687,0.68157,-0.857384,1.00842,0.731891,K
-2.327819,-1.620422,0.444876,-1.391723,-0.236952,-0.479278,0.39898,-0.355203,-0.431455,1.279557,0.523118,-1.124195,0.593488,C
-2.0434,2.221846,-2.374514,-0.273626,-0.252522,-0.500471,-0.052748,1.280505,-3.63129,-0.566686,0.931089,0.252711,-0.430562,C
3.455827,-2.704972,1.215475,6.024094,-0.794766,1.171474,1.674288,0.858783,-1.763809,0.31735,0.746164,-0.012927,1.757495,C
5.141846,-0.734663,-2.367846,-0.375023,-1.246449,-1.825699,0.579931,-0.933401,1.22582,0.897172,0.632032,1.199374,-1.489711,K
-2.97424,-0.583159,-1.46544,1.186455,0.043798,-1.417086,-0.404759,0.703718,-1.178388,1.527873,0.405047,0.646681,0.251222,C
-1.772724,-0.778029,-1.217689,1.730221,-0.434402,-1.670487,0.144871,0.765245,0.969586,0.28294,-0.86293,0.467247,-1.541656,C
-0.871157,0.486867,0.079049,1.15172,-0.35057,-0.1366,0.760854,0.262231,1.364095,1.335251,-0.174383,-0.210416,-0.281007,C
-3.176138,-0.653828,0.617583,-1.75195,0.902562,-0.234626,0.746279,-1.379411,-0.558674,1.464278,1.70303,0.327091,0.78964,C
-2.771627,-1.372777,-1.630123,-0.138638,-0.647978,-0.364798,0.224431,0.381728,-0.177117,0.569125,-0.012401,-0.623142,-0.29773,C
-5.094757,-3.049003,0.515823,-1.643219,1.42149,-2.374844,-0.055701,-0.33322,-0.021598,1.275474,-1.373024,1.037462,0.830059,C
1.393964,1.781252,-0.101541,-1.891545,-2.386927,0.385878,1.458173,-0.852399,-0.070092,0.635452,0.139927,0.124648,1.432276,K
-1.3134,-0.061221,0.57399,0.937738,-0.393626,-1.600793,0.514636,0.066446,-0.22113,1.063876,-0.775038,1.600594,-0.383666,C
0.054663,0.068005,1.183902,-1.40203,0.461685,-0.976789,0.649715,-1.033989,-0.197573,1.86054,0.730261,0.957684,1.315022,C
-0.872872,-2.101948,0.727617,0.371298,-1.309496,0.290316,1.272791,0.563477,1.482819,-0.489499,-1.84725,0.195091,-0.837364,C
0.181537,-0.282155,0.715221,-4.273564,0.727743,0.899318,0.4153,1.833046,-0.129629,-0.277265,-0.814621,0.785108,-0.782684,K
-0.410423,1.52604,0.664448,3.463312,3.719325,0.298517,0.980584,0.79942,0.159331,1.164977,0.833808,1.840135,1.372465,K
-1.505246,-0.602014,-1.379817,1.922506,0.288928,0.422883,0.682875,0.462554,-0.267151,1.008664,0.364779,-0.681689,1.202364,K
-2.258078,1.002218,-0.980271,-2.351177,0.573722,-0.107873,1.056095,-0.827793,0.873638,0.193978,-0.80958,0.830257,0.630813,K
-1.61919,1.583924,2.677027,0.892911,0.734866,1.226296,1.729104,-0.022333,2.186927,-0.133257,0.706717,0.905997,-1.580822,K
-2.167055,1.368054,-1.491857,-0.155535,-0.181435,-0.910987,0.00007,0.619546,-1.766577,-0.09026,1.505974,0.388052,-1.63013,K
-2.985117,-1.223206,0.89171,0.278235,0.758743,0.37735,0.77536,1.167484,-1.193351,-0.618185,-0.55372,1.091898,-0.315523,C
2.052266,4.137795,5.517436,0.396639,2.876833,-0.652381,1.186083,1.03288,-0.388914,1.962183,-0.670971,-1.322965,-0.912379,K
-2.0184,0.7524,-0.381977,-2.362311,0.673563,-1.274863,0.266478,-1.189607,1.042963,-1.574025,0.27985,0.102797,1.711191,K
-2.397738,-0.051752,1.218398,0.121269,-1.190038,-1.559401,-0.136999,-0.619052,0.853296,-1.079758,1.689084,-0.636916,-0.074388,K
0.421214,-0.531972,1.313515,-4.284698,0.827584,-0.267672,-0.374316,1.471231,0.039696,-2.045268,0.274809,0.057648,0.297695,K
-2.271691,-2.064897,0.846226,-2.387814,-1.204747,-2.669685,-0.380768,-0.456062,-0.321585,-1.888815,-0.368617,-0.157295,0.394138,C
1.930729,-1.03974,0.07247,-0.625943,-1.884846,-0.90638,-0.932525,0.990444,1.177618,-0.209103,1.476032,-1.705329,0.933516,K
